User,StartDate,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_4_TEXT,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_4_TEXT,Q58,Q60,Q62,Q63,Q61,Q59,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_9_TEXT,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q11_5_TEXT,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_6_TEXT,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_6_TEXT,Q39,Q40,Q41,Q42,Q43,Q44,Q44_5_TEXT,Q45,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_6_TEXT,Q47,Q47 - Topics
11,12/4/2018 16:39,"I consent, begin the study",No,Did not know how to edit Wikipedia,,,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,Code of Conduct,Deciding on content creation,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,,,,,Very useful,Very useful,Very useful,Extremely useful,Moderately useful,Extremely useful,Not applicable/ Did not use,Not applicable/ Did not use,,Very comfortable,Very comfortable,Moderately comfortable,Not at all comfortable,Not applicable/ Did not use,2,,Edited existing articles,,Revised at least one section,"Added references to existing article sections, but did not change content",,,,More than 250 words on one article,15,15,20,45,60,0,,Poor,Fair,Poor,Fair,Yes,Poor,Fair,Poor,Fair,No,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,,,Other non-Wikipedia websites,,,Yes,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Often (approximately once a week),,Neutral/Did not change,Fun,Empowering,,,,,,,
12,12/4/2018 22:29,"I consent, begin the study",No,Did not know how to edit Wikipedia,,Was not interested in editing previously,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,Code of Conduct,Deciding on content creation,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,,,,,Slightly useful,Moderately useful,Moderately useful,Extremely useful,Moderately useful,Moderately useful,Not applicable/ Did not use,Not applicable/ Did not use,,Very comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Not applicable/ Did not use,2,,Edited existing articles,,Revised at least one section,"Added references to existing article sections, but did not change content",,,Other (please describe),"Less than 250 words per article, for multiple articles",10,30,30,30,60,0,,Fair,Good,Fair,Good,Yes,Fair,Fair,Fair,Fair,No,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,,,,,,No,Somewhat likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,Rarely (once a month or less),,Neutral/Did not change,,,Overwhelming,,,Other (please list),Stressful,It was good to be part of a supportive community working on this together. I would never have engaged in wikipedia content editing on my own.,Unknown
13,12/5/2018 22:00,"I consent, begin the study",No,Did not know how to edit Wikipedia,Thought editing would be too complicated,,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,,,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,,,,,Slightly useful,Not applicable/ Did not use,Not applicable/ Did not use,Very useful,Extremely useful,Very useful,Not applicable/ Did not use,Not applicable/ Did not use,,Very comfortable,Somewhat comfortable,Moderately comfortable,Not at all comfortable,Not at all comfortable,2,,Edited existing articles,Added at least one article section,Revised at least one section,"Added references to existing article sections, but did not change content",,,,More than 250 words on one article,10,20,10,5,80,0,,Fair,Good,Fair,Good,Yes,Fair,Good,Fair,Good,No,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,,Other Wikipedia pages,,,,Yes,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Often (approximately once a week),,Somewhat less likely,Fun,Empowering,Overwhelming,,,,,What a great learning opportunity - thanks Wiki group!,Unknown
14,12/11/2018 7:55,"I consent, begin the study",No,Did not know how to edit Wikipedia,,,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,,Deciding on content creation,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,Tutorial: Creating a new page,,,,Very useful,Very useful,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Not applicable/ Did not use,,Extremely comfortable,Extremely comfortable,Moderately comfortable,Somewhat comfortable,Somewhat comfortable,1,,Edited existing articles,Added at least one article section,Revised at least one section,"Added references to existing article sections, but did not change content",,,,More than 250 words on one article,5,10,10,30,60,30,Citation managing,Poor,Fair,Poor,Good,No,,,,,,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,Textbooks or other secondary literature,,,,,Yes,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Very often (approximately once a day),,Somewhat more likely,Fun,Empowering,,,Tedious,,,"I really enjoyed it! I would definitely recommend having participants set a timer for editing increments - that really helped me stay on task rather than getting distracted by all the cool features (and information) on Wikipedia! It also helped me understand how I was using my time editing. I spent less time writing than I did looking for citations on my particular article. I wanted to make sure they were the correct ones, and that took some digging on my part. ",Unknown
15,12/18/2018 7:06,"I consent, begin the study",No,Did not know how to edit Wikipedia,Thought editing would be too complicated,,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,Code of Conduct,Deciding on content creation,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,Tutorial: Creating a new page,Further WikiProjects resources,,,Very useful,Extremely useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,,Very comfortable,Very comfortable,Very comfortable,Moderately comfortable,Somewhat comfortable,1,,Edited existing articles,Added at least one article section,Revised at least one section,"Added references to existing article sections, but did not change content",,,,More than 250 words on one article,5,20,10,45,60,0,,Poor,Fair,Poor,Fair,No,,,,,,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,,,,,,No,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,Very often (approximately once a day),,Somewhat less likely,Fun,Empowering,,,Tedious,,,,
18,3/14/2019 6:49,"I consent, begin the study",No,Did not know how to edit Wikipedia,,Was not interested in editing previously,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,Code of Conduct,,Tutorial: Creating a Wikipedia account,,Wikipedia Talk / Discussion Pages,,,,,Extremely useful,Extremely useful,Not applicable/ Did not use,Extremely useful,Not applicable/ Did not use,Extremely useful,Not applicable/ Did not use,Not applicable/ Did not use,"Having a mailing list for updates on the next Edit-a-thon, achievements, events etc...",Very comfortable,Not applicable/ Did not use,Very comfortable,Very comfortable,Very comfortable,1,,Edited existing articles,Added at least one article section,Revised at least one section,,,,,More than 250 words on one article,5,60,15,10,100,0,,Fair,Fair,Fair,Fair,No,,,,,,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,,,,,,No,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Rarely (once a month or less),,Neutral/Did not change,Fun,Empowering,,,,,,"I find the project very interesting and I think it is a very simple way to make scientific knowledge accessible, which I think is one of the main goals of science.  Should definitely think about making the project ""exportable"" for other languages. I would be interested in trying to gather the French speaking community into it. ",Unknown
19,3/19/2019 12:47,"I consent, begin the study",Yes,,,,,,"Personal interest motivated previous Wikipedia edits, but I've done much more since joining WP: L&O ",Personal interest,,An edit-a-thon type event,,,Yes,Easier,Same pages,"Within my expertise, both edit-a-thons","I felt much more comfortable with some of the advanced editing tools such as equations, infoboxes, and inserting images ",Previous edit-a-thon,,,,,,,,,,,,,,,,,,,,,Not applicable/ Did not use,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,2,,Edited existing articles,Added at least one article section,Revised at least one section,"Added references to existing article sections, but did not change content",Added informative images to the article,,,More than 250 words on one article,0,0,5,50,45,20,Talk pages ,Poor,Fair,Fair,Fair,Yes,Poor,Poor,Fair,Fair,No,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,,Other Wikipedia pages,Other non-Wikipedia websites,,,Yes,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Very often (approximately once a day),,Somewhat more likely,Fun,Empowering,,,Tedious,,,"I think physically sitting down with a group of people is much easier to stay motivated rather than editing remotely on your own. I suggest people participating grab one or more people, go to a coffee shop or something, and edit together. ",Unknown
20,3/26/2019 20:51,"I consent, begin the study",Yes,,,,,,none before the last Limnology & Oceanography WikiProject edit-a-thon,,,An edit-a-thon type event,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3/26/2019 20:54,"I consent, begin the study",No,,,Was not interested in editing previously,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,Code of Conduct,Deciding on content creation,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,,,,,Very useful,Extremely useful,Very useful,Very useful,Moderately useful,Very useful,Not applicable/ Did not use,Not applicable/ Did not use,How to complete wikipedia page in languages other than English,Very comfortable,Very comfortable,Very comfortable,Moderately comfortable,Not applicable/ Did not use,1,,Edited existing articles,,Revised at least one section,"Added references to existing article sections, but did not change content",,,,Less than 250 words on one article,0,0,2,60,30,0,,Poor,Poor,Fair,Fair,No,,,,,,,,,,,,,,,,,,Primary (peer-reviewed) literature,,,,Other (please describe),Technical report,No,Somewhat likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,Very often (approximately once a day),,Neutral/Did not change,Fun,,Overwhelming,,,,,,
22,3/26/2019 21:38,"I consent, begin the study",No,Did not know how to edit Wikipedia,,Was not interested in editing previously,,,,,,,,,,,,,,,Yes,Mission Statement and Goals,Code of Conduct,,Tutorial: Creating a Wikipedia account,Tutorial: Editing a page in VisualEditor,Wikipedia Talk / Discussion Pages,Tutorial: Creating a new page,Further WikiProjects resources,Other (please describe),YouTube tutorial videos,Extremely useful,Extremely useful,Moderately useful,Extremely useful,Moderately useful,Very useful,Very useful,Extremely useful,,Very comfortable,Moderately comfortable,Moderately comfortable,Not at all comfortable,Not at all comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4/3/2019 21:02,"I consent, begin the study",Yes,,,,,,Got started with the Eco-DAS group!,,A course or workshop,,Other (please describe),"Eco-DAS - not sure how to categorize, so I selected workshop",Yes,Easier,Different pages,"Within my expertise, both edit-a-thons",Felt more comfortable about making changes.,Previous edit-a-thon,,,,,,,,,,,,,,,,,,,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,Not applicable/ Did not use,Very comfortable,2,,Both,Added at least one article section,,,Added informative images to the article,,,Less than 250 words on one article,0,0,5,60,60,0,,Did not exist,Fair,Did not exist,Fair,Yes,Fair,Good,Good,Good,No,,,,,,,,,,,,Personal/expert knowledge,Primary (peer-reviewed) literature,Textbooks or other secondary literature,,Other non-Wikipedia websites,,,Yes,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Very often (approximately once a day),,Neutral/Did not change,Fun,Empowering,,,,,,,
